Timestamp,Workers,CPU_Usage_%,Running_Pods,Pending_Pods,CPU_Req,CPU_Cap,Mem_Req,Mem_Cap,Predicted_CPU_Req,Action,Reason
2026-03-06 12:50:26,2,78.48,36,0,7.7,8.0,4.5,11.92,5.72,DO_NOTHING,System is stable
2026-03-06 12:51:27,2,79.49,36,3,7.7,8.0,4.5,11.92,5.58,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-03-06 12:52:28,2,78.41,36,1,7.7,8.0,4.5,11.92,5.14,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-03-06 12:53:29,2,78.85,36,1,7.7,8.0,4.5,11.92,5.1,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-03-06 12:54:30,2,78.85,36,1,7.7,8.0,4.5,11.92,5.14,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-03-06 12:55:31,2,78.31,36,1,7.7,8.0,4.5,11.92,5.15,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-03-06 12:56:32,2,78.81,36,2,7.7,8.0,4.5,11.92,5.51,DO_NOTHING,Blocked: Max Workers (2) Reached
2026-03-06 12:57:33,2,79.05,36,0,7.7,8.0,4.5,11.92,5.23,DO_NOTHING,System is stable
2026-03-06 12:58:34,2,78.06,32,0,6.9,8.0,4.0,11.92,4.77,DO_NOTHING,System is stable
2026-03-06 12:59:35,2,73.2,30,0,6.5,8.0,3.75,11.92,4.39,DO_NOTHING,System is stable
2026-03-06 13:00:36,2,69.94,31,0,6.7,8.0,3.88,11.92,4.54,DO_NOTHING,System is stable
2026-03-06 13:01:37,2,68.56,30,0,6.5,8.0,3.75,11.92,4.38,DO_NOTHING,System is stable
2026-03-06 13:02:38,2,69.16,28,0,6.1,8.0,3.5,11.92,3.93,DO_NOTHING,System is stable
2026-03-06 13:03:39,2,64.85,27,0,5.9,8.0,3.38,11.92,3.65,DO_NOTHING,System is stable
2026-03-06 13:04:40,2,67.1,28,0,6.1,8.0,3.5,11.92,3.71,DO_NOTHING,System is stable
2026-03-06 13:05:40,2,61.35,25,0,5.5,8.0,3.12,11.92,3.18,DO_NOTHING,System is stable
2026-03-06 13:06:41,2,64.03,26,0,5.7,8.0,3.25,11.92,3.2,DO_NOTHING,System is stable
2026-03-06 13:07:42,2,63.64,28,0,6.1,8.0,3.5,11.92,3.44,DO_NOTHING,System is stable
2026-03-06 13:08:43,2,66.24,29,0,6.3,8.0,3.62,11.92,3.63,DO_NOTHING,System is stable
2026-03-06 13:09:44,2,63.66,27,0,5.9,8.0,3.38,11.92,3.42,DO_NOTHING,System is stable
2026-03-06 13:10:45,2,64.18,24,0,5.3,8.0,3.0,11.92,3.01,DO_NOTHING,System is stable
2026-03-06 13:11:46,2,59.56,24,0,5.3,8.0,3.0,11.92,2.95,DO_NOTHING,"[Wait] AI Predicts 2.95, but Current Req is still high (5.30 >= 3.00)"
2026-03-06 13:12:47,2,56.9,21,0,4.7,8.0,2.62,11.92,2.42,DO_NOTHING,"[Wait] AI Predicts 2.42, but Current Req is still high (4.70 >= 3.00)"
2026-03-06 13:13:48,2,49.69,19,0,4.3,8.0,2.38,11.92,1.96,DO_NOTHING,"[Wait] AI Predicts 1.96, but Current Req is still high (4.30 >= 3.00)"
2026-03-06 13:14:49,2,52.28,17,0,3.9,8.0,2.12,11.92,1.57,DO_NOTHING,"[Wait] AI Predicts 1.57, but Current Req is still high (3.90 >= 3.00)"
2026-03-06 13:15:50,2,45.27,15,0,3.5,8.0,1.88,11.92,1.32,DO_NOTHING,"[Wait] AI Predicts 1.32, but Current Req is still high (3.50 >= 3.00)"
2026-03-06 13:16:51,2,38.73,14,0,3.3,8.0,1.75,11.92,1.24,DO_NOTHING,"[Wait] AI Predicts 1.24, but Current Req is still high (3.30 >= 3.00)"
2026-03-06 13:17:52,2,31.16,11,0,2.7,8.0,1.38,11.92,1.15,SCALE_IN,[Safe Scale-In] Predict (1.15) & Current (2.70) are safe for 1 nodes
2026-03-06 13:18:58,1,46.77,8,0,1.85,4.0,1.0,7.64,1.11,DO_NOTHING,System is stable
2026-03-06 13:19:59,1,36.9,6,0,1.45,4.0,0.75,7.64,1.12,DO_NOTHING,System is stable
2026-03-06 13:21:00,1,31.47,5,0,1.25,4.0,0.62,7.64,1.13,DO_NOTHING,System is stable
2026-03-06 13:22:00,1,28.38,4,0,1.05,4.0,0.5,7.64,1.12,DO_NOTHING,System is stable
2026-03-06 13:23:01,1,31.77,5,0,1.25,4.0,0.62,7.64,1.13,DO_NOTHING,System is stable
2026-03-06 13:24:02,1,26.92,4,0,1.05,4.0,0.5,7.64,1.12,DO_NOTHING,System is stable
2026-03-06 13:25:02,1,26.82,4,0,1.05,4.0,0.5,7.64,1.11,DO_NOTHING,System is stable
2026-03-06 13:26:03,1,31.52,5,0,1.25,4.0,0.62,7.64,1.1,DO_NOTHING,System is stable
2026-03-06 13:27:03,1,27.12,4,0,1.05,4.0,0.5,7.64,1.07,DO_NOTHING,System is stable
2026-03-06 13:28:04,1,26.8,4,0,1.05,4.0,0.5,7.64,1.08,DO_NOTHING,System is stable
2026-03-06 13:29:05,1,26.88,4,0,1.05,4.0,0.5,7.64,1.14,DO_NOTHING,System is stable
2026-03-06 13:30:05,1,24.75,4,0,1.05,4.0,0.5,7.64,1.27,DO_NOTHING,System is stable
2026-03-06 13:31:06,1,25.12,4,0,1.05,4.0,0.5,7.64,1.44,DO_NOTHING,System is stable
2026-03-06 13:32:07,1,25.65,4,0,1.05,4.0,0.5,7.64,1.8,DO_NOTHING,System is stable
2026-03-06 13:33:07,1,25.52,4,0,1.05,4.0,0.5,7.64,2.23,DO_NOTHING,System is stable
